EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,EducationField,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,Age_Group,Salary_Category,Attrition_Flag
286,36,Female,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,2153,8,1,7,4,2,3,No,30-40,"Low Salary",0
287,40,Male,"Research & Development","Healthcare Representative",Non-Travel,"Life Sciences",4876,3,0,2,4,4,1,No,30-40,"Low Salary",0
288,46,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,9396,4,0,3,1,4,3,No,40+,"Medium Salary",0
291,32,Male,Sales,"Sales Executive",Travel_Rarely,Medical,10400,14,9,8,4,4,2,Yes,30-40,"High Salary",1
292,30,Male,"Research & Development","Manufacturing Director",Non-Travel,"Life Sciences",8474,11,5,8,3,3,3,No,30-40,"Medium Salary",0
293,27,Female,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",9981,7,0,7,3,4,3,No,"Under 30","Medium Salary",0
296,51,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",12490,10,4,7,2,2,1,No,40+,"High Salary",0
297,30,Female,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",2657,5,0,4,1,4,3,Yes,30-40,"Low Salary",1
298,41,Female,Sales,Manager,Travel_Rarely,"Life Sciences",13591,1,0,0,4,4,3,No,40+,"High Salary",0
299,30,Female,Sales,"Sales Executive",Travel_Frequently,Marketing,6696,6,0,1,1,3,2,Yes,30-40,"Medium Salary",1
300,29,Male,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",2058,6,1,5,3,3,2,Yes,"Under 30","Low Salary",1
302,45,Female,Sales,"Sales Executive",Non-Travel,Medical,8865,19,12,8,4,4,3,No,40+,"Medium Salary",0
303,54,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,5940,6,0,5,1,4,3,No,40+,"Medium Salary",0
304,36,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",5914,13,3,7,2,4,4,No,30-40,"Medium Salary",0
305,33,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2622,3,1,1,2,3,3,No,30-40,"Low Salary",0
306,37,Male,"Research & Development","Research Director",Travel_Frequently,Other,12185,10,0,7,4,2,3,No,30-40,"High Salary",0
307,38,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",10609,16,5,13,3,1,2,No,30-40,"High Salary",0
308,31,Male,"Research & Development","Manufacturing Director",Non-Travel,Medical,4345,5,1,4,3,3,3,No,30-40,"Low Salary",0
309,59,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2177,1,0,0,4,3,3,No,40+,"Low Salary",0
311,37,Male,Sales,"Sales Representative",Travel_Frequently,Marketing,2793,9,5,8,4,1,3,No,30-40,"Low Salary",0
312,29,Female,Sales,"Sales Executive",Travel_Frequently,Medical,7918,11,4,1,4,2,3,No,"Under 30","Medium Salary",0
314,35,Female,Sales,"Sales Executive",Travel_Frequently,Marketing,8789,10,0,8,3,3,4,No,30-40,"Medium Salary",0
315,29,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2389,4,0,1,4,3,2,Yes,"Under 30","Low Salary",1
316,52,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3212,2,2,2,4,3,2,No,40+,"Low Salary",0
319,42,Male,"Research & Development",Manager,Travel_Rarely,"Technical Degree",19232,22,11,15,4,3,3,No,40+,"High Salary",0
321,59,Male,"Human Resources","Human Resources",Travel_Rarely,Medical,2267,2,2,2,3,2,2,No,40+,"Low Salary",0
323,50,Female,Sales,Manager,Travel_Rarely,Medical,19517,7,0,6,4,4,2,No,40+,"High Salary",0
325,33,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2436,5,0,4,4,3,1,Yes,30-40,"Low Salary",1
327,43,Female,Sales,Manager,Travel_Rarely,Marketing,16064,17,1,9,4,4,3,No,40+,"High Salary",0
328,33,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2707,9,1,7,1,1,4,Yes,30-40,"Low Salary",1
329,52,Male,Sales,Manager,Non-Travel,"Life Sciences",19068,33,15,12,3,1,4,No,40+,"High Salary",0
330,32,Female,Sales,"Sales Representative",Travel_Rarely,"Life Sciences",3931,4,1,2,2,3,3,No,30-40,"Low Salary",0
331,32,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3730,3,1,2,3,4,1,Yes,30-40,"Low Salary",1
332,39,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2232,3,1,2,3,3,3,No,30-40,"Low Salary",0
333,32,Male,Sales,"Sales Executive",Non-Travel,Marketing,4465,3,2,2,4,3,3,No,30-40,"Low Salary",0
334,41,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3072,1,0,0,1,3,2,No,40+,"Low Salary",0
335,40,Male,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",3319,9,4,7,4,1,3,No,30-40,"Low Salary",0
336,45,Male,"Research & Development",Manager,Travel_Rarely,Other,19202,24,1,7,4,3,3,No,40+,"High Salary",0
337,31,Male,"Research & Development","Research Director",Travel_Frequently,Medical,13675,2,2,2,3,2,3,No,30-40,"High Salary",0
338,33,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2911,2,0,2,4,3,2,No,30-40,"Low Salary",0
339,34,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",5957,11,5,9,1,4,3,No,30-40,"Medium Salary",0
340,37,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,3920,3,0,2,1,3,2,No,30-40,"Low Salary",0
341,45,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",6434,3,0,2,3,1,3,No,40+,"Medium Salary",0
342,37,Male,"Research & Development","Manufacturing Director",Travel_Frequently,Medical,10048,1,0,0,3,1,3,Yes,30-40,"High Salary",1
343,39,Female,"Research & Development","Healthcare Representative",Travel_Frequently,"Technical Degree",10938,19,11,8,3,3,3,No,30-40,"High Salary",0
346,29,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2340,6,1,5,4,3,3,No,"Under 30","Low Salary",0
347,42,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",6545,3,0,2,1,4,3,No,40+,"Medium Salary",0
349,29,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,6931,3,0,2,4,4,3,No,"Under 30","Medium Salary",0
350,25,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",4898,4,1,2,3,1,3,No,"Under 30","Low Salary",0
351,42,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2593,9,7,8,1,4,3,No,40+,"Low Salary",0
352,40,Male,"Research & Development","Research Director",Travel_Rarely,Medical,19436,21,3,9,3,1,3,No,30-40,"High Salary",0
353,51,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2723,1,0,0,4,3,2,No,40+,"Low Salary",0
355,31,Male,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,3479,5,1,4,2,3,4,Yes,30-40,"Low Salary",1
359,32,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",2794,5,0,3,2,2,1,No,30-40,"Low Salary",0
361,38,Male,Sales,"Sales Executive",Non-Travel,"Life Sciences",5249,8,7,5,4,4,3,No,30-40,"Medium Salary",0
362,32,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Technical Degree",2176,6,0,4,1,4,3,No,30-40,"Low Salary",0
363,46,Female,Sales,Manager,Travel_Rarely,"Technical Degree",16872,7,7,7,2,3,2,No,40+,"High Salary",0
364,28,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3485,0,0,0,3,1,1,Yes,"Under 30","Low Salary",1
366,29,Male,Sales,"Sales Executive",Travel_Rarely,Medical,6644,0,0,0,2,1,3,No,"Under 30","Medium Salary",0
367,31,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,5582,9,7,8,4,2,3,No,30-40,"Medium Salary",0
369,25,Male,"Research & Development","Healthcare Representative",Non-Travel,"Life Sciences",4000,6,1,5,1,2,3,No,"Under 30","Low Salary",0
372,45,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,13496,20,4,10,4,3,3,No,40+,"High Salary",0
373,36,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3210,15,10,11,4,4,3,No,30-40,"Low Salary",0
374,55,Male,"Research & Development",Manager,Travel_Rarely,Medical,19045,36,4,13,1,4,3,No,40+,"High Salary",0
376,47,Male,"Research & Development",Manager,Non-Travel,"Life Sciences",11849,10,9,9,2,1,2,Yes,40+,"High Salary",1
377,28,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,2070,5,0,4,4,4,2,No,"Under 30","Low Salary",0
378,37,Male,Sales,"Sales Executive",Travel_Rarely,Medical,6502,5,0,1,4,3,4,No,30-40,"Medium Salary",0
379,21,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3230,3,1,0,3,4,4,No,"Under 30","Low Salary",0
380,37,Female,"Research & Development","Research Director",Non-Travel,Medical,13603,5,0,2,4,1,3,No,30-40,"High Salary",0
381,35,Female,"Research & Development",Manager,Travel_Rarely,"Life Sciences",11996,7,6,2,2,2,2,No,30-40,"High Salary",0
382,38,Female,Sales,"Sales Executive",Travel_Rarely,Medical,5605,8,7,7,1,1,3,No,30-40,"Medium Salary",0
384,26,Female,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",6397,6,1,4,2,3,1,No,"Under 30","Medium Salary",0
385,50,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",19144,10,1,6,2,1,2,No,40+,"High Salary",0
386,53,Male,"Research & Development","Research Director",Travel_Rarely,Medical,17584,5,1,3,3,3,2,No,40+,"High Salary",0
387,42,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4907,20,11,6,3,2,3,No,40+,"Low Salary",0
388,29,Male,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",4554,10,0,9,4,2,2,No,"Under 30","Low Salary",0
389,55,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Technical Degree",5415,10,0,8,4,2,3,No,40+,"Medium Salary",0
390,26,Male,"Research & Development","Healthcare Representative",Travel_Frequently,Medical,4741,5,3,3,1,1,3,No,"Under 30","Low Salary",0
391,37,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2115,17,5,7,4,4,3,No,30-40,"Low Salary",0
392,44,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",3161,1,0,0,3,4,1,Yes,40+,"Low Salary",1
393,38,Male,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",5745,2,1,2,4,4,3,No,30-40,"Medium Salary",0
394,26,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2373,3,0,2,2,1,3,Yes,"Under 30","Low Salary",1
395,28,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",3310,5,0,2,4,4,3,No,"Under 30","Low Salary",0
396,49,Female,"Research & Development","Research Director",Travel_Frequently,"Life Sciences",18665,3,1,2,1,3,3,No,40+,"High Salary",0
397,36,Male,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",4485,8,7,7,2,3,3,No,30-40,"Low Salary",0
399,31,Female,Sales,"Sales Representative",Travel_Frequently,Marketing,2789,2,2,2,2,4,2,No,30-40,"Low Salary",0
401,26,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,5828,8,7,4,4,4,3,Yes,"Under 30","Medium Salary",1
403,37,Male,"Research & Development","Research Scientist",Travel_Frequently,Medical,2326,4,1,2,4,2,2,No,30-40,"Low Salary",0
404,42,Female,Sales,"Sales Executive",Travel_Frequently,Marketing,13525,20,4,8,2,3,4,No,40+,"High Salary",0
405,18,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",1420,0,0,0,3,3,3,Yes,"Under 30","Low Salary",1
406,35,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,8020,11,6,9,2,3,2,No,30-40,"Medium Salary",0
407,36,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",3688,1,0,0,4,3,3,No,30-40,"Low Salary",0
408,51,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,5482,4,1,2,2,4,3,No,40+,"Medium Salary",0
410,41,Male,Sales,Manager,Travel_Rarely,"Life Sciences",16015,22,0,4,2,4,3,No,40+,"High Salary",0
411,18,Female,Sales,"Sales Representative",Travel_Rarely,Medical,1200,0,0,0,3,4,3,No,"Under 30","Low Salary",0
412,28,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,5661,8,0,7,1,2,3,No,"Under 30","Medium Salary",0
416,31,Male,Sales,"Sales Executive",Travel_Rarely,"Technical Degree",6929,8,7,7,4,2,2,No,30-40,"Medium Salary",0
417,39,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,9613,18,3,7,4,3,2,No,30-40,"Medium Salary",0
419,36,Female,"Research & Development","Laboratory Technician",Non-Travel,"Life Sciences",5674,9,0,8,2,2,3,No,30-40,"Medium Salary",0
420,32,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5484,13,4,8,3,4,2,No,30-40,"Medium Salary",0
421,38,Female,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",12061,10,0,1,2,1,3,No,30-40,"High Salary",0
422,58,Male,"Research & Development","Healthcare Representative",Non-Travel,"Life Sciences",5660,5,1,2,3,4,3,No,40+,"Medium Salary",0
423,31,Male,"Research & Development","Research Scientist",Travel_Rarely,"Technical Degree",4821,5,0,3,4,3,3,No,30-40,"Low Salary",0
424,31,Male,"Human Resources","Human Resources",Travel_Rarely,"Human Resources",6410,2,1,0,1,1,3,No,30-40,"Medium Salary",0
425,45,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",5210,24,9,11,1,1,3,No,40+,"Medium Salary",0
426,31,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2695,2,2,2,4,3,1,No,30-40,"Low Salary",0
428,33,Female,"Research & Development",Manager,Travel_Frequently,"Life Sciences",11878,10,8,8,2,4,3,No,30-40,"High Salary",0
429,39,Male,"Research & Development",Manager,Travel_Rarely,Medical,17068,21,11,10,1,3,3,No,30-40,"High Salary",0
430,43,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",2455,8,1,7,4,3,3,No,40+,"Low Salary",0
431,49,Female,"Research & Development","Healthcare Representative",Travel_Rarely,"Technical Degree",13964,7,0,7,3,3,3,No,40+,"High Salary",0
433,52,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,4941,8,7,7,2,3,2,Yes,40+,"Low Salary",1
434,27,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2478,4,1,2,2,3,2,No,"Under 30","Low Salary",0
436,32,Female,Sales,"Sales Executive",Travel_Rarely,"Technical Degree",5228,13,11,9,2,3,3,No,30-40,"Medium Salary",0
437,27,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4478,5,0,4,3,4,3,No,"Under 30","Low Salary",0
438,31,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,7547,7,1,7,4,4,3,No,30-40,"Medium Salary",0
439,32,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,5055,7,0,7,4,1,2,No,30-40,"Medium Salary",0
440,28,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,3464,3,2,2,4,1,2,Yes,"Under 30","Low Salary",1
441,30,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,5775,10,1,9,4,4,3,No,30-40,"Medium Salary",0
442,31,Female,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",8943,10,8,9,3,3,3,No,30-40,"Medium Salary",0
444,39,Male,"Research & Development",Manager,Travel_Frequently,Medical,19272,21,13,3,4,3,3,No,30-40,"High Salary",0
445,39,Female,Sales,"Sales Executive",Travel_Rarely,Medical,5238,1,0,0,3,4,2,Yes,30-40,"Medium Salary",1
446,33,Male,Sales,"Sales Executive",Travel_Frequently,Marketing,4682,7,0,1,4,2,2,No,30-40,"Low Salary",0
447,47,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",18300,3,1,1,3,4,3,No,40+,"High Salary",0
448,43,Female,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",5257,9,0,0,3,3,4,No,40+,"Medium Salary",0
449,27,Male,Sales,"Sales Executive",Non-Travel,Marketing,6349,5,1,4,2,3,3,No,"Under 30","Medium Salary",0
450,54,Female,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",4869,4,0,3,3,4,2,No,40+,"Low Salary",0
451,43,Female,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",9985,1,0,0,1,3,2,No,40+,"Medium Salary",0
452,45,Male,"Research & Development","Research Scientist",Travel_Rarely,Other,3697,10,9,8,4,4,3,No,40+,"Low Salary",0
453,40,Male,Sales,"Sales Executive",Travel_Rarely,Medical,7457,4,0,2,4,2,2,No,30-40,"Medium Salary",0
454,29,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Other,2119,7,0,7,1,2,2,Yes,"Under 30","Low Salary",1
455,29,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Other,3983,3,2,2,4,2,3,No,"Under 30","Low Salary",0
456,30,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,6118,10,1,2,3,4,3,No,30-40,"Medium Salary",0
458,27,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,6214,8,0,7,2,2,3,No,"Under 30","Medium Salary",0
460,37,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,6347,6,0,4,4,4,2,No,30-40,"Medium Salary",0
461,38,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",11510,11,2,9,4,3,3,No,30-40,"High Salary",0
462,31,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,7143,11,4,10,4,3,2,No,30-40,"Medium Salary",0
463,29,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,8268,7,1,7,2,4,3,No,"Under 30","Medium Salary",0
464,35,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Technical Degree",8095,16,0,13,2,3,3,No,30-40,"Medium Salary",0
465,23,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2904,4,0,2,4,3,2,No,"Under 30","Low Salary",0
466,41,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,6032,5,1,2,2,4,3,No,40+,"Medium Salary",0
467,47,Male,Sales,"Sales Representative",Travel_Frequently,Medical,2976,0,0,0,3,2,3,No,40+,"Low Salary",0
468,42,Female,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",15992,1,0,0,4,1,3,No,40+,"High Salary",0
469,29,Male,Sales,"Sales Executive",Non-Travel,"Life Sciences",4649,4,0,2,3,4,2,No,"Under 30","Low Salary",0
470,42,Male,"Human Resources","Human Resources",Travel_Rarely,"Technical Degree",2696,3,1,0,3,3,3,No,40+,"Low Salary",0
471,32,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2370,8,0,7,2,3,3,No,30-40,"Low Salary",0
473,48,Female,Sales,Manager,Travel_Rarely,Medical,12504,0,0,0,3,1,1,No,40+,"High Salary",0
474,37,Male,"Research & Development","Research Scientist",Travel_Rarely,Medical,5974,7,6,7,1,3,3,No,30-40,"Medium Salary",0
475,30,Female,Sales,"Sales Executive",Non-Travel,"Technical Degree",4736,2,2,2,3,4,4,No,30-40,"Low Salary",0
476,26,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5296,8,7,7,3,3,3,No,"Under 30","Medium Salary",0
477,42,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Other,6781,1,0,0,4,1,3,No,40+,"Medium Salary",0
478,21,Female,Sales,"Sales Representative",Travel_Frequently,"Technical Degree",2174,3,1,2,2,1,3,Yes,"Under 30","Low Salary",1
479,36,Female,Sales,"Sales Executive",Non-Travel,Medical,6653,1,0,0,4,4,3,No,30-40,"Medium Salary",0
481,36,Male,Sales,"Sales Executive",Travel_Frequently,Medical,9699,13,1,12,4,1,3,No,30-40,"Medium Salary",0
482,57,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,6755,3,1,2,3,4,3,No,40+,"Medium Salary",0
483,40,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2213,7,1,7,3,4,3,No,30-40,"Low Salary",0
484,21,Male,Sales,"Sales Representative",Non-Travel,Medical,2610,3,2,2,4,1,2,No,"Under 30","Low Salary",0
485,33,Female,Sales,"Sales Representative",Travel_Rarely,Marketing,2851,1,0,0,3,4,3,Yes,30-40,"Low Salary",1
486,37,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3452,5,0,3,1,3,3,No,30-40,"Low Salary",0
487,46,Female,"Research & Development","Manufacturing Director",Non-Travel,Medical,5258,1,0,0,3,3,4,No,40+,"Medium Salary",0
488,41,Male,Sales,"Sales Executive",Travel_Frequently,Marketing,9355,8,7,7,2,1,3,Yes,40+,"Medium Salary",1
491,50,Male,"Research & Development","Healthcare Representative",Travel_Rarely,"Technical Degree",10496,4,1,3,4,4,3,No,40+,"High Salary",0
492,40,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,6380,6,1,0,3,3,3,Yes,30-40,"Medium Salary",1
493,31,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2657,2,2,2,2,3,3,No,30-40,"Low Salary",0
494,21,Female,Sales,"Sales Representative",Travel_Rarely,"Life Sciences",2716,1,0,0,2,3,3,Yes,"Under 30","Low Salary",1
495,29,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2201,3,1,2,4,4,3,No,"Under 30","Low Salary",0
496,35,Male,"Research & Development","Healthcare Representative",Travel_Rarely,"Life Sciences",6540,1,0,0,2,3,3,No,30-40,"Medium Salary",0
497,27,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3816,5,0,4,2,4,3,No,"Under 30","Low Salary",0
498,28,Male,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5253,7,0,7,4,2,3,No,"Under 30","Medium Salary",0
499,49,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Other,10965,5,0,0,3,2,3,No,40+,"High Salary",0
500,51,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4936,7,0,7,4,3,2,No,40+,"Low Salary",0
501,36,Female,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2543,2,2,2,3,4,3,No,30-40,"Low Salary",0
502,34,Male,Sales,"Sales Executive",Non-Travel,Marketing,5304,5,0,4,4,1,2,Yes,30-40,"Medium Salary",1
505,55,Female,"Research & Development",Manager,Travel_Rarely,"Life Sciences",16659,5,1,2,4,3,3,No,40+,"High Salary",0
507,24,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,4260,5,0,3,3,4,4,No,"Under 30","Low Salary",0
508,30,Male,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",2476,1,0,0,2,3,3,No,30-40,"Low Salary",0
510,26,Male,"Research & Development","Research Scientist",Travel_Frequently,"Technical Degree",3102,6,0,4,1,3,3,Yes,"Under 30","Low Salary",1
511,22,Female,"Research & Development","Research Scientist",Travel_Rarely,Medical,2244,2,1,2,2,1,3,No,"Under 30","Low Salary",0
513,36,Male,Sales,"Sales Executive",Travel_Rarely,Medical,7596,10,9,0,3,2,3,No,30-40,"Medium Salary",0
514,30,Male,"Research & Development","Research Scientist",Travel_Frequently,"Technical Degree",2285,1,0,0,4,3,3,Yes,30-40,"Low Salary",1
515,37,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",3034,18,12,17,1,4,2,No,30-40,"Low Salary",0
516,40,Female,Sales,"Sales Executive",Travel_Rarely,Marketing,5715,5,1,3,2,4,3,No,30-40,"Medium Salary",0
517,42,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2576,5,1,2,1,2,3,No,40+,"Low Salary",0
518,37,Male,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",4197,1,0,1,2,3,2,No,30-40,"Low Salary",0
520,43,Male,"Research & Development","Research Director",Travel_Rarely,"Life Sciences",14336,25,3,9,2,1,3,No,40+,"High Salary",0
521,40,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3448,1,0,0,3,2,3,No,30-40,"Low Salary",0
522,54,Male,"Research & Development","Research Director",Travel_Rarely,Medical,19406,4,1,2,1,1,2,No,40+,"High Salary",0
523,34,Female,Sales,"Sales Executive",Non-Travel,Marketing,6538,3,1,2,3,3,3,No,30-40,"Medium Salary",0
524,31,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,4306,13,3,12,1,2,1,No,30-40,"Low Salary",0
525,43,Male,"Research & Development","Laboratory Technician",Travel_Frequently,Medical,2258,3,1,2,4,4,3,No,40+,"Low Salary",0
526,43,Female,"Research & Development","Healthcare Representative",Travel_Rarely,Other,4522,5,0,2,3,3,3,No,40+,"Low Salary",0
527,25,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",4487,5,1,3,4,2,3,No,"Under 30","Low Salary",0
529,37,Female,"Research & Development","Research Scientist",Non-Travel,Medical,4449,13,10,7,3,2,3,No,30-40,"Low Salary",0
530,31,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2218,4,3,2,1,4,3,No,30-40,"Low Salary",0
531,39,Male,"Research & Development",Manager,Travel_Frequently,"Life Sciences",19197,21,1,6,3,2,3,No,30-40,"High Salary",0
532,56,Female,Sales,"Sales Executive",Travel_Frequently,"Life Sciences",13212,7,7,7,1,3,2,No,40+,"High Salary",0
533,30,Female,Sales,"Sales Executive",Travel_Rarely,"Technical Degree",6577,5,4,4,3,2,3,No,30-40,"Medium Salary",0
534,41,Male,Sales,"Sales Executive",Travel_Rarely,Marketing,8392,10,0,7,1,2,3,No,40+,"Medium Salary",0
536,28,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,4558,10,1,8,1,3,3,No,"Under 30","Low Salary",0
538,25,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,4031,2,0,2,1,1,3,Yes,"Under 30","Low Salary",1
543,52,Male,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,7969,5,0,4,3,4,3,No,40+,"Medium Salary",0
544,45,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2654,2,0,2,4,1,2,No,40+,"Low Salary",0
546,52,Female,"Research & Development",Manager,Travel_Rarely,"Life Sciences",16555,5,1,4,4,4,1,No,40+,"High Salary",0
547,42,Female,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",4556,5,0,2,3,1,3,No,40+,"Low Salary",0
548,30,Female,"Research & Development","Manufacturing Director",Travel_Rarely,"Life Sciences",6091,5,0,2,4,3,3,No,30-40,"Medium Salary",0
549,60,Female,"Research & Development",Manager,Travel_Rarely,"Life Sciences",19566,29,11,10,1,1,1,No,40+,"High Salary",0
550,46,Female,"Research & Development","Manufacturing Director",Travel_Rarely,Medical,4810,10,0,8,3,3,2,No,40+,"Low Salary",0
551,42,Female,"Research & Development","Healthcare Representative",Travel_Frequently,"Technical Degree",4523,6,0,4,4,4,4,No,40+,"Low Salary",0
554,24,Female,Sales,"Sales Representative",Travel_Rarely,"Technical Degree",3202,5,1,4,2,1,3,Yes,"Under 30","Low Salary",1
555,34,Female,Sales,"Sales Representative",Travel_Frequently,Marketing,2351,2,1,0,3,4,2,Yes,30-40,"Low Salary",1
556,38,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",1702,1,0,0,4,4,3,No,30-40,"Low Salary",0
